YEAR,DATE,COUNTY_NAME,COMTRS,SITE_NAME,PRODUCT_NAME,POUNDS_PRODUCT_APPLIED,CHEMICAL_NAME,POUNDS_CHEMICAL_APPLIED,AMOUNT_TREATED,UNIT_TREATED,AERIAL_GROUND_INDICATOR
2016,12-APR-16,SANTA BARBARA,42S08N33W24,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,510.7331,AZOXYSTROBIN,116.9578799,480,A,G
2016,10-APR-16,SANTA BARBARA,42S08N33W24,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,95.7625,AZOXYSTROBIN,21.9296125,90,A,G
2016,06-APR-16,SANTA BARBARA,42S10N33W01,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,228.99,AZOXYSTROBIN,52.43871,215.2,A,G
2016,23-MAY-16,SANTA BARBARA,42S06N32W17,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,20.4293,AZOXYSTROBIN,4.6783097,26,A,G
2016,20-MAY-16,SANTA BARBARA,42S06N32W07,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,12.9102,AZOXYSTROBIN,2.9564358,14,A,G
2016,21-MAY-16,SANTA BARBARA,42S06N32W07,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,22.1318,AZOXYSTROBIN,5.0681822,24,A,G
2016,15-APR-16,SANTA BARBARA,42S09N32W15,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,46.7832,AZOXYSTROBIN,10.7133528,42.55,A,G
2016,08-APR-16,SANTA BARBARA,42S10N33W01,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,344.7562,AZOXYSTROBIN,78.9491698,324,A,G
2016,18-APR-16,SANTA BARBARA,42S08N31W24,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,56.1806,AZOXYSTROBIN,12.8653574,66,A,G
2016,16-APR-16,SANTA BARBARA,42S06N33W02,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,0.9931,AZOXYSTROBIN,.2274199,0.9,A,G
2016,26-APR-16,SANTA BARBARA,42S08N33W20,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,141.3709,AZOXYSTROBIN,32.3739361,199.38,A,G
2016,25-APR-16,SANTA BARBARA,42S09N34W34,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,69.3689,AZOXYSTROBIN,15.8854781,67.87,A,G
2016,13-APR-16,SANTA BARBARA,42S08N33W03,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,24.1861,AZOXYSTROBIN,5.5386169,31,A,G
2016,13-APR-16,SANTA BARBARA,42S08N33W03,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,4.6874,AZOXYSTROBIN,1.0734146,6,A,G
2016,19-APR-16,SANTA BARBARA,42S09N32W17,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,67.7707,AZOXYSTROBIN,15.5194903,74.64,A,G
2016,22-APR-16,SANTA BARBARA,42S08N32W35,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,345.4826,AZOXYSTROBIN,79.1155154,487.16,A,G
2016,12-APR-16,SANTA BARBARA,42S08N33W03,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,35.8989,AZOXYSTROBIN,8.2208481,46,A,G
2016,12-APR-16,SANTA BARBARA,42S08N33W03,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,2.338,AZOXYSTROBIN,.535402,3,A,G
2016,12-APR-16,SANTA BARBARA,42S08N33W03,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,8.5803,AZOXYSTROBIN,1.9648887,11,A,G
2016,26-APR-16,SANTA BARBARA,42S09N34W35,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,145.0028,AZOXYSTROBIN,33.2056412,141.95,A,G
2016,25-APR-16,SANTA BARBARA,42S09N34W35,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,19.9753,AZOXYSTROBIN,4.5743437,19.52,A,G
2016,05-APR-16,SANTA BARBARA,42S08N31W23,"GRAPES, WINE",ABOUND FLOWABLE FUNGICIDE,20.4293,AZOXYSTROBIN,4.6783097,24,A,G
